ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
1256,Barbell Reverse Grip Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",12561301-Barbell-Reverse-Grip-Decline-Bench-Press_Chest_180.webp
1257,Barbell Reverse Grip Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",12571301-Barbell-Reverse-Grip-Incline-Bench-Press_Chest_180.webp
1258,Barbell Wide Reverse Grip Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",12581301-Barbell-Wide-Reverse-Grip-Bench-Press_Chest_180.webp
1261,Cable Decline Press,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",12611301-Cable-Decline-Press_Chest-FIX_180.webp
1269,Cable Standing Up Straight Crossovers,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",12691301-Cable-Standing-Up-Straight-Crossovers_Chest_180.webp
1270,Cable Upper Chest Crossovers,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior",12701301-Cable-Upper-Chest-Crossovers_Chest_180.webp
1299,Lever Incline Chest Press,Strength,Chest,Leverage machine,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",12991301-Leverage-Incline-Chest-Press_Chest_180.webp
1300,Lever Decline Chest Press,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",13001301-Lever-Decline-Chest-Press_Chest_180.webp
1301,Machine Inner Chest Press,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",13011301-Machine-Inner-Chest-Press_Chest_180.webp
1308,Smith Wide Grip Bench Press,Strength,Chest,Smith machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",13081301-Smith-Wide-Grip-Bench-Press_Chest_180.webp
